"PM","FURNIZOR EXT","NR ART"
"TCIOARA","AKARSU HALI SAN TIC LTD","116.0"
"TCIOARA","AKDENIZ SERGILEME VE RAF","1.0"
"TCIOARA","AMBADI ENTERPRISES LIMITED","169.0"
"TCIOARA","ANTIQUE ART EXPORTS PVT LTD","319.0"
"TCIOARA","ARTE ESPINA","1854.0"
"TCIOARA","AVA HANDFAB (P) LTD","229.0"
"TCIOARA","AVX INVEST ASIA SRL","173.0"
"TCIOARA","BALTA INDUSTRIES","69.0"
"TCIOARA","BANYOLIN HALI SAN VE TIC AS","49.0"
"TCIOARA","BEEKAY INTERNATIONAL","126.0"
"TCIOARA","BEIJING HOME VALUE CO LTD","527.0"
"TCIOARA","BRINK & CAMPMAN","39.0"
"TCIOARA","BRINTONS AGNELLA SPOLKA ZOO","290.0"
"TCIOARA","CARMEL INDUSTRIES LTD","318.0"
"TCIOARA","CARPET CLEANER INDUSTRIES CCI GMBH","1.0"
"TCIOARA","CARPET PALACE","13.0"
"TCIOARA","CAYIRLI HALI IC VE DIS TIC AS","358.0"
"TCIOARA","CELIA CARPET INTERIOR","22.0"
"TCIOARA","CHAMPO CARPETS","777.0"
"TCIOARA","CHI WING RATTAN FTY.","18.0"
"TCIOARA","CLASS MOB SRL","7.0"
"TCIOARA","CVT TRADE & TRANSPORT SRL","121.0"
"TCIOARA","DECO MEX CO. SRL","1.0"
"TCIOARA","DECOR EXPERT SRL","15.0"
"TCIOARA","DILEK GAZIANTEP ITHALAT IHRACAT SAN VE TIC LTD STI","224.0"
"TCIOARA","DURKAR DIS TIC LTD STI","40.0"
"TCIOARA","ELDA HALI TEKSTIL SANAYI VE TICARET AS","267.0"
"TCIOARA","EMPERA HALI SAN VE TIC AS","359.0"
"TCIOARA","ERDEMOGLU DIS TIC A S","556.0"
"TCIOARA","ESCAR COM SRL","1.0"
"TCIOARA","EURO FINISH NV","259.0"
"TCIOARA","EXPLORER PROJECT SRL","1.0"
"TCIOARA","FATI HALICILIK","116.0"
"TCIOARA","FERO-MEX CO SRL","1.0"
"TCIOARA","FINIPUR BV","2.0"
"TCIOARA","FLAIR RUGS","233.0"
"TCIOARA","FLORA EXPORTS","206.0"
